dish_id,total_calories,total_mass,ingredient_names,image_path
dish_1561662054,419.438782,292.0,pepper white rice mixed greens garlic soy sauce millet lemon juice bok choy olive oil onions vinegar green beans pork apple sugar salt parsley,./data/images/dish_1561662054/rgb.png
dish_1560455030,20.59,103.0,cherry tomatoes cucumbers baby carrots,./data/images/dish_1560455030/rgb.png
dish_1558372433,74.360001,143.0,deprecated,./data/images/dish_1558372433/rgb.png
dish_1565640549,45.482903,139.0,tomatoes cilantro olive oil mustard greens lemon juice onions cucumbers salt arugula jalapenos asparagus lime mangos cherry tomatoes,./data/images/dish_1565640549/rgb.png
dish_1563207364,309.269989,271.0,scrambled eggs yam grapes egg whites olive oil sweet potato,./data/images/dish_1563207364/rgb.png
dish_1561575474,120.058434,183.0,salt eggplant roasted potatoes cauliflower olive oil,./data/images/dish_1561575474/rgb.png
dish_1563216717,246.007996,332.0,garlic squash cherry tomatoes chicken breast spinach raw parmesan cheese wheat berry olive oil thyme honeydew melons salt broccoli,./data/images/dish_1563216717/rgb.png
dish_1565972591,195.199997,122.0,chicken apple sausage,./data/images/dish_1565972591/rgb.png
dish_1568649312,44.459999,78.0,berries,./data/images/dish_1568649312/rgb.png
dish_1562183096,41.18898,95.0,pepper chard blueberries mushroom vinegar arugula mustard olive oil walnuts salt,./data/images/dish_1562183096/rgb.png
dish_1563476551,1116.391113,750.0,shallots salmon mushroom ginger squash brownies lemon juice sour cream lime garlic cheese pizza wine cream brown rice jalapenos spinach raw beef pasta thyme olive oil broccoli onions zucchini salt cilantro chili,./data/images/dish_1563476551/rgb.png
dish_1559844951,274.335999,122.0,almonds potatoes,./data/images/dish_1559844951/rgb.png
dish_1562963704,663.755798,479.0,radishes bok choy vinegar salt roasted potatoes mixed greens soy sauce caesar salad garlic sugar pepper white rice pork rice noodles cabbage pizza olive oil carrot green onions,./data/images/dish_1562963704/rgb.png
dish_1566417398,56.892494,46.0,mustard vinegar mixed greens celery root olive oil salt cherry tomatoes,./data/images/dish_1566417398/rgb.png
dish_1562611680,326.888977,256.0,cilantro garlic olive oil pepperoni pizza lemon juice onions vinegar blueberries salt caesar salad steak kale jalapenos spinach raw mustard white rice radishes pineapple,./data/images/dish_1562611680/rgb.png
dish_1564432238,455.387939,315.0,cherry tomatoes cauliflower lime mayonnaise jalapenos pepperoni pizza parsley vinegar lemon juice cabbage mixed greens lettuce salt pepper pineapple pork wheat berry onions cucumbers olive oil garlic carrot,./data/images/dish_1564432238/rgb.png
dish_1563468327,351.886047,483.0,yam sweet potato cottage cheese pineapple watermelon olive oil berries,./data/images/dish_1563468327/rgb.png
dish_1562862493,198.320007,134.0,scrambled eggs,./data/images/dish_1562862493/rgb.png
dish_1558549008,20.700001,115.0,cherry tomatoes,./data/images/dish_1558549008/rgb.png
dish_1560453174,329.716248,256.0,basil rosemary carrot olive oil almonds lemon juice parsley green beans blueberries chicken pepper salt garlic vinegar zucchini mustard spinach raw thyme wheat berry squash,./data/images/dish_1560453174/rgb.png
dish_1563824250,17.200001,43.0,onions,./data/images/dish_1563824250/rgb.png
dish_1560543755,257.924927,264.0,green onions chicken cauliflower green beans spinach raw ginger olive oil roasted potatoes mixed greens carrot broccoli salt white rice vinegar rice noodles cabbage radishes soy sauce garlic,./data/images/dish_1560543755/rgb.png
dish_1563822597,59.400002,176.0,broccoli caesar salad squash zucchini,./data/images/dish_1563822597/rgb.png
dish_1558459276,102.699997,79.0,white rice,./data/images/dish_1558459276/rgb.png
dish_1560974707,55.025124,60.0,onions spinach raw cherry tomatoes tortilla chips corn cheese salt chili tomatoes garlic lime sour cream black beans,./data/images/dish_1560974707/rgb.png
dish_1564686855,1030.160645,435.0,cucumbers onions brownies chicken breast cherry tomatoes olives salt lettuce cheese pizza mixed greens lime pepper olive oil vinegar,./data/images/dish_1564686855/rgb.png
dish_1565119669,55.965,229.0,kale zucchini chard chayote squash,./data/images/dish_1565119669/rgb.png
dish_1566417516,385.402527,425.0,wheat berry eggplant cherry tomatoes mixed greens celery root salt mustard garlic olive oil vinegar chard fish chive shallots roasted potatoes parsley lemon juice,./data/images/dish_1566417516/rgb.png
dish_1558724031,358.710999,303.0,cherry tomatoes cantaloupe almonds cauliflower,./data/images/dish_1558724031/rgb.png
dish_1558637393,739.968018,128.0,almonds,./data/images/dish_1558637393/rgb.png
dish_1563393217,49.230003,228.0,zucchini broccoli squash onions cucumbers,./data/images/dish_1563393217/rgb.png
dish_1562789268,569.511536,350.0,pork corn on the cob brown rice lemon juice parsley basil shallots cherry tomatoes cheese pizza pepper salt vinegar olive oil onions garlic broccoli,./data/images/dish_1562789268/rgb.png
dish_1559700851,61.089886,54.0,spinach raw vinegar tomatoes salt mustard garlic olive oil mustard greens cucumbers,./data/images/dish_1559700851/rgb.png
dish_1561492204,488.636322,334.0,olive oil blueberries onions tomatoes salt fried rice chicken pepper mustard garlic bell peppers millet jalapenos spinach raw vinegar radishes,./data/images/dish_1561492204/rgb.png
dish_1567613057,406.68631,749.0,olive oil egg whites watermelon sweet potato salsa,./data/images/dish_1567613057/rgb.png
dish_1564761488,327.986023,336.0,turkey bacon egg whites fried rice honeydew melons,./data/images/dish_1564761488/rgb.png
dish_1559678330,169.694122,150.0,olive oil spinach raw vinegar tomatoes garlic cucumbers salt mustard mustard greens,./data/images/dish_1559678330/rgb.png
dish_1565033110,47.599998,147.0,broccoli mixed greens,./data/images/dish_1565033110/rgb.png
dish_1564428444,157.001038,277.0,olive oil onions salt garlic pears mixed greens mustard cherry tomatoes cauliflower vinegar,./data/images/dish_1564428444/rgb.png
dish_1558459115,271.540009,298.0,almonds apple white rice cherry tomatoes grapes,./data/images/dish_1558459115/rgb.png
dish_1558723777,74.360001,143.0,apple,./data/images/dish_1558723777/rgb.png
dish_1558721757,768.873047,133.0,almonds,./data/images/dish_1558721757/rgb.png
dish_1564777960,331.007507,147.0,spinach cooked cheese pizza shallots onions salt olive oil vinegar bok choy beef millet,./data/images/dish_1564777960/rgb.png
dish_1563468269,129.01001,302.0,berries watermelon pineapple,./data/images/dish_1563468269/rgb.png
dish_1558380557,699.320068,212.0,grapes almonds sausage,./data/images/dish_1558380557/rgb.png
dish_1562873028,280.3414,320.0,jicama parsley nopales olive oil cherry tomatoes chive fish pepper salt corn arugula sour cream green beans celery carrot couscous garlic lime,./data/images/dish_1562873028/rgb.png
dish_1558637769,80.079994,154.0,apple,./data/images/dish_1558637769/rgb.png
dish_1558724959,581.441956,426.0,brussels sprouts carrot almonds apple,./data/images/dish_1558724959/rgb.png
dish_1558115867,132.962997,23.0,almonds,./data/images/dish_1558115867/rgb.png
dish_1561580370,126.795876,124.0,spinach raw wheat berry cheese cherry tomatoes pasta pesto caesar salad onions,./data/images/dish_1561580370/rgb.png
dish_1561061658,226.000137,227.0,croutons pepper parmesan cheese brussels sprouts mustard greens garlic kale parsley salt shallots arugula olive oil lemon juice caesar dressing cranberries bulgur apple,./data/images/dish_1561061658/rgb.png
dish_1559838402,222.759506,233.0,bacon sweet potato yam berries,./data/images/dish_1559838402/rgb.png
dish_1564686832,829.737549,392.0,onions brownies olives chicken breast salt lime cherry tomatoes cheese pizza lettuce pepper mixed greens olive oil vinegar cucumbers,./data/images/dish_1564686832/rgb.png
dish_1561753238,298.034393,333.0,olive oil arugula brown rice pepper squash kale salmon parsley garlic lemon juice salt tatsoi thyme cucumbers,./data/images/dish_1561753238/rgb.png
dish_1566938026,450.576294,219.0,spinach cooked wine cheese pizza salt lemon juice squash eggplant mushroom chicken thighs olive oil quinoa garlic shallots,./data/images/dish_1566938026/rgb.png
dish_1559751801,451.635986,343.0,berries yam eggs chicken apple sausage,./data/images/dish_1559751801/rgb.png
dish_1564000490,532.706482,325.0,pepper arugula cream caesar salad butter shallots cheese pizza salt garlic lemon juice basil mushroom wheat berry oregano thyme olive oil rosemary white wine chicken,./data/images/dish_1564000490/rgb.png
dish_1564000459,485.186493,217.0,butter wheat berry thyme olive oil rosemary lemon juice cheese pizza shallots garlic salt white wine pepper cream mushroom arugula oregano basil chicken,./data/images/dish_1564000459/rgb.png
dish_1558457530,16.0,64.0,cauliflower,./data/images/dish_1558457530/rgb.png
dish_1558723449,74.360001,143.0,apple,./data/images/dish_1558723449/rgb.png
dish_1567628157,373.190979,355.0,green onions fish apple arugula onions chard country rice cranberries lemon juice garlic salt parsley kale olive oil mustard greens shallots bulgur,./data/images/dish_1567628157/rgb.png
dish_1565728415,194.42775,80.0,cheese pizza shallots spinach cooked onions olive oil vinegar millet salt bok choy beef,./data/images/dish_1565728415/rgb.png
dish_1565383026,171.559998,287.0,spinach raw cucumbers olives,./data/images/dish_1565383026/rgb.png
dish_1558642089,39.360001,96.0,carrot,./data/images/dish_1558642089/rgb.png
dish_1562959732,374.663696,232.0,salt soy sauce bok choy pork parsnips pepper garlic sugar white rice,./data/images/dish_1562959732/rgb.png
dish_1560368972,196.840424,107.0,pork cherry tomatoes garlic shallots white rice salt onions basil olive oil brown rice vinegar pepper broccoli lemon juice parsley,./data/images/dish_1560368972/rgb.png
dish_1561576590,29.231468,101.0,squash olive oil salt,./data/images/dish_1561576590/rgb.png
dish_1558723866,14.75,59.0,cauliflower,./data/images/dish_1558723866/rgb.png
dish_1564778030,504.417786,283.0,millet spinach cooked vinegar onions cheese pizza broccoli bok choy mixed greens shallots blue cheese beef olive oil mustard garlic walnuts lettuce salt,./data/images/dish_1564778030/rgb.png
dish_1561392512,42.75,75.0,berries,./data/images/dish_1561392512/rgb.png
dish_1564675118,177.188782,238.0,olive oil watermelon sweet potato,./data/images/dish_1564675118/rgb.png
dish_1559319860,70.330002,13.0,bacon,./data/images/dish_1559319860/rgb.png
dish_1559242568,116.116005,203.0,pears,./data/images/dish_1559242568/rgb.png
dish_1563824339,85.339996,175.0,onions cherry tomatoes olives bell peppers,./data/images/dish_1563824339/rgb.png
dish_1567021831,252.435623,228.0,cherry tomatoes pepper chive wheat berry kale mustard olive oil garlic walnuts lemon juice salt fish chard blueberries vinegar arugula parsley shallots,./data/images/dish_1567021831/rgb.png
dish_1559846099,206.938995,114.0,mandarin oranges almonds broccoli,./data/images/dish_1559846099/rgb.png
dish_1562873155,41.33675,79.0,green beans olive oil,./data/images/dish_1562873155/rgb.png
dish_1562094621,10.54,34.0,green beans,./data/images/dish_1562094621/rgb.png
dish_1563900150,202.2966,154.0,sweet potato olive oil scrambled eggs,./data/images/dish_1563900150/rgb.png
dish_1562086702,178.529999,33.0,bacon,./data/images/dish_1562086702/rgb.png
dish_1564429894,498.769836,566.0,quinoa salt squash mayonnaise arugula parsley carrot couscous pepper wheat berry pork jalapenos cabbage shallots thyme olive oil garlic lemon juice cauliflower,./data/images/dish_1564429894/rgb.png
dish_1561662458,124.815498,119.0,lettuce lime salt mixed greens onions cucumbers vinegar corn on the cob olive oil pepper cherry tomatoes,./data/images/dish_1561662458/rgb.png
dish_1558720364,73.839996,142.0,apple,./data/images/dish_1558720364/rgb.png
dish_1559845290,66.220001,86.0,potatoes,./data/images/dish_1559845290/rgb.png
dish_1559844506,98.959999,180.0,mandarin oranges grapes strawberries,./data/images/dish_1559844506/rgb.png
dish_1560360055,362.734009,180.0,sausage scrambled eggs,./data/images/dish_1560360055/rgb.png
dish_1567106825,220.200867,104.0,bok choy millet blue cheese onions mustard olive oil shallots spinach cooked mixed greens salt beef vinegar garlic lettuce walnuts,./data/images/dish_1567106825/rgb.png
dish_1560453380,411.388397,480.0,zucchini brown rice arugula green beans wheat berry rosemary tomatoes chicken pepper kimchi spinach raw squash salmon thyme olive oil basil lemon juice parsley salt garlic,./data/images/dish_1560453380/rgb.png
dish_1566849327,551.702026,362.0,parmesan cheese mixed greens avocado olives chicken,./data/images/dish_1566849327/rgb.png
dish_1560527191,663.989319,318.0,mustard greens cucumbers bacon berries tomatoes garlic potatoes salt sausage mustard vinegar spinach raw olive oil,./data/images/dish_1560527191/rgb.png
dish_1563898786,420.928467,344.0,mustard olive oil bell peppers broccoli radishes salt garlic scrambled eggs vinegar cucumbers,./data/images/dish_1563898786/rgb.png
dish_1560973958,145.313232,121.0,wheat berry olive oil mustard pecans lime salt raisins pepper arugula orange,./data/images/dish_1560973958/rgb.png
dish_1563206582,229.248688,320.0,yam egg whites olive oil sweet potato,./data/images/dish_1563206582/rgb.png
dish_1565207815,40.848213,80.0,brussels sprouts salt pepper olive oil,./data/images/dish_1565207815/rgb.png
dish_1568314823,144.0,90.0,avocado,./data/images/dish_1568314823/rgb.png
dish_1565119464,504.065033,223.0,millet apple cheese pizza salt olive oil onions cranberries mustard vinegar spinach raw spinach cooked beef shallots bok choy,./data/images/dish_1565119464/rgb.png
dish_1565725047,77.659996,110.0,carrot olives,./data/images/dish_1565725047/rgb.png
dish_1559841163,357.043518,335.0,blackberries scrambled eggs yam sweet potato chicken apple sausage broccoli,./data/images/dish_1559841163/rgb.png
